city,date,rate,state
Hyderabad,12/1/2011,73.07,Telangana
Hyderabad,4/1/2012,73.08,Telangana
Hyderabad,5/24/2012,81.44,Telangana
Hyderabad,6/3/2012,78.11,Telangana
Hyderabad,6/29/2012,74.89,Telangana
Hyderabad,7/24/2012,75.8,Telangana
Hyderabad,7/25/2012,75.42,Telangana
Hyderabad,10/9/2012,74.68,Telangana
Hyderabad,10/27/2012,74.98,Telangana
Hyderabad,11/16/2012,73.73,Telangana
Hyderabad,1/18/2013,73.41,Telangana
Hyderabad,2/16/2013,75.37,Telangana
Hyderabad,3/2/2013,77.21,Telangana
Hyderabad,3/16/2013,74.59,Telangana
Hyderabad,4/2/2013,73.44,Telangana
Hyderabad,4/16/2013,72.14,Telangana
Hyderabad,5/1/2013,68.86,Telangana
Hyderabad,6/1/2013,69.84,Telangana
Hyderabad,6/16/2013,72.46,Telangana
Hyderabad,6/29/2013,74.9,Telangana
Hyderabad,7/15/2013,76.94,Telangana
Hyderabad,8/1/2013,77.85,Telangana
Hyderabad,9/1/2013,80.93,Telangana
Hyderabad,9/14/2013,83.07,Telangana
Hyderabad,10/1/2013,79.08,Telangana
Hyderabad,11/1/2013,77.57,Telangana
Hyderabad,12/21/2013,78.1,Telangana
Hyderabad,1/4/2014,79.11,Telangana
Hyderabad,3/1/2014,79.9,Telangana
Hyderabad,4/1/2014,78.92,Telangana
Hyderabad,4/16/2014,78,Telangana
Hyderabad,6/7/2014,78.11,Telangana
Hyderabad,6/25/2014,78.17,Telangana
Hyderabad,7/1/2014,80.41,Telangana
Hyderabad,8/1/2014,79.22,Telangana
Hyderabad,8/15/2014,76.84,Telangana
Hyderabad,8/31/2014,74.86,Telangana
Hyderabad,10/1/2014,74.15,Telangana
Hyderabad,10/15/2014,72.83,Telangana
Hyderabad,11/1/2014,70.19,Telangana
Hyderabad,12/1/2014,69.19,Telangana
Hyderabad,12/16/2014,67.02,Telangana
Hyderabad,1/17/2015,64.37,Telangana
Hyderabad,2/1/2015,66.38,Telangana
Hyderabad,2/4/2015,63.81,Telangana
Hyderabad,2/6/2015,63.73,Telangana
Hyderabad,2/16/2015,64.65,Telangana
Hyderabad,3/1/2015,68.23,Telangana
Hyderabad,4/2/2015,67.69,Telangana
Hyderabad,4/15/2015,66.79,Telangana
Hyderabad,5/1/2015,71.21,Telangana
Hyderabad,5/16/2015,74.73,Telangana
Hyderabad,6/16/2015,75.45,Telangana
Hyderabad,7/1/2015,75.11,Telangana
Hyderabad,7/15/2015,72.52,Telangana
Hyderabad,8/1/2015,69.82,Telangana
Hyderabad,8/15/2015,68.45,Telangana
Hyderabad,9/1/2015,66.29,Telangana
Hyderabad,11/1/2015,65.76,Telangana
Hyderabad,11/16/2015,66.07,Telangana
Hyderabad,12/1/2015,65.47,Telangana
Hyderabad,12/16/2015,64.92,Telangana
Hyderabad,1/1/2016,64.24,Telangana
Hyderabad,1/16/2016,63.9,Telangana
Hyderabad,2/1/2016,63.85,Telangana
Hyderabad,2/17/2016,63.84,Telangana
Hyderabad,3/9/2016,60.63,Telangana
Hyderabad,3/17/2016,63.9,Telangana
Hyderabad,4/5/2016,66.22,Telangana
Hyderabad,4/16/2016,65.18,Telangana
Hyderabad,5/1/2016,66.29,Telangana
Hyderabad,5/17/2016,67.17,Telangana
Hyderabad,6/1/2016,69.91,Telangana
Hyderabad,6/16/2016,69.96,Telangana
Hyderabad,7/1/2016,69.06,Telangana
Hyderabad,7/15/2016,66.67,Telangana
Hyderabad,8/1/2016,65.22,Telangana
Hyderabad,8/15/2016,64.16,Telangana
Hyderabad,9/1/2016,67.75,Telangana
Hyderabad,9/15/2016,68.56,Telangana
Hyderabad,10/1/2016,68.95,Telangana
Hyderabad,10/5/2016,69.07,Telangana
Hyderabad,10/15/2016,70.91,Telangana
Hyderabad,11/6/2016,72.25,Telangana
Hyderabad,11/16/2016,70.4,Telangana
Hyderabad,12/1/2016,70.58,Telangana
Hyderabad,12/17/2016,73.61,Telangana
Hyderabad,1/1/2017,75.37,Telangana
Hyderabad,1/16/2017,75.94,Telangana
Hyderabad,4/1/2017,70.81,Telangana
Hyderabad,4/16/2017,72.7,Telangana
Hyderabad,5/1/2017,72.72,Telangana
Hyderabad,5/16/2017,69.8,Telangana
Hyderabad,6/1/2017,71.49,Telangana
Hyderabad,6/16/2017,69.61,Telangana
Hyderabad,6/19/2017,68.73,Telangana
Hyderabad,6/20/2017,68.57,Telangana
Hyderabad,6/21/2017,68.62,Telangana
Hyderabad,6/22/2017,68.46,Telangana
Hyderabad,6/23/2017,68.23,Telangana
Hyderabad,6/26/2017,67.56,Telangana
Hyderabad,6/27/2017,67.42,Telangana
Hyderabad,6/28/2017,67.46,Telangana
Hyderabad,6/29/2017,67.42,Telangana
Hyderabad,6/30/2017,67.3,Telangana
Hyderabad,7/3/2017,67.11,Telangana
Hyderabad,7/4/2017,67.01,Telangana
Hyderabad,7/5/2017,67.06,Telangana
Hyderabad,7/6/2017,67.13,Telangana
Hyderabad,7/7/2017,67.27,Telangana
Hyderabad,7/10/2017,67.85,Telangana
Hyderabad,7/11/2017,67.91,Telangana
Hyderabad,7/12/2017,67.96,Telangana
Hyderabad,7/13/2017,67.89,Telangana
Hyderabad,7/14/2017,67.87,Telangana
Hyderabad,7/17/2017,68.22,Telangana
Hyderabad,7/18/2017,68.2,Telangana
Hyderabad,7/19/2017,68.28,Telangana
Hyderabad,7/20/2017,68.33,Telangana
Hyderabad,7/21/2017,68.28,Telangana
Hyderabad,7/24/2017,68.62,Telangana
Hyderabad,7/25/2017,68.67,Telangana
Hyderabad,7/26/2017,68.59,Telangana
Hyderabad,7/27/2017,68.61,Telangana
Hyderabad,7/28/2017,68.72,Telangana
Hyderabad,7/31/2017,69.32,Telangana
Hyderabad,8/1/2017,69.31,Telangana
Hyderabad,8/4/2017,69.87,Telangana
Hyderabad,8/7/2017,70.65,Telangana
Hyderabad,8/8/2017,70.66,Telangana
Hyderabad,8/9/2017,70.73,Telangana
Hyderabad,8/10/2017,70.89,Telangana
Hyderabad,8/11/2017,71.22,Telangana
Hyderabad,8/14/2017,72.02,Telangana
Hyderabad,8/16/2017,72.14,Telangana
Hyderabad,8/17/2017,72.25,Telangana
Hyderabad,8/18/2017,72.31,Telangana
Hyderabad,8/21/2017,72.64,Telangana
Hyderabad,8/22/2017,72.7,Telangana
Hyderabad,8/23/2017,72.85,Telangana
Hyderabad,8/24/2017,72.93,Telangana
Hyderabad,8/28/2017,73.23,Telangana
Hyderabad,8/29/2017,73.18,Telangana
Hyderabad,8/30/2017,73.26,Telangana
Hyderabad,8/31/2017,73.29,Telangana
Hyderabad,9/1/2017,73.34,Telangana
Hyderabad,9/4/2017,73.73,Telangana
Hyderabad,9/5/2017,73.81,Telangana
Hyderabad,9/7/2017,73.91,Telangana
Hyderabad,9/8/2017,74,Telangana
Hyderabad,9/11/2017,74.41,Telangana
Hyderabad,9/12/2017,74.52,Telangana
Hyderabad,9/13/2017,74.49,Telangana
Hyderabad,9/14/2017,74.54,Telangana
Hyderabad,9/15/2017,74.58,Telangana
Hyderabad,9/19/2017,74.64,Telangana
Hyderabad,9/20/2017,74.68,Telangana
Hyderabad,9/21/2017,74.64,Telangana
Hyderabad,9/22/2017,74.62,Telangana
Hyderabad,9/25/2017,74.53,Telangana
Hyderabad,9/26/2017,74.56,Telangana
Hyderabad,9/27/2017,74.53,Telangana
Hyderabad,9/28/2017,74.61,Telangana
Hyderabad,9/29/2017,74.72,Telangana
Hyderabad,10/3/2017,75.01,Telangana
